"id","Project Name","Developer","Architect","Contractor","Possible Engineer","Location","Address","Territory","Groundbreaking Year","Completion Year","Article Title","Article Date","Scraped Date","Article Link","Article Summary","Milestone Mentions","Planned Mentions","Lead Score","Qualified","Justification"
,"47-story Mixed-use by Tulip Developments Group","Tulip Developments Group (joint venture with Ansorg Development and ReturnPro)","Kobi Karp Architecture","",,"","3350 Biscayne Boulevard, Miami, FL","Dade / Monroe","","","47-story Mixed-use by Tulip Developments Group – Edgewater","October 2025","2025-12-04","https://www.condoblackbook.com/blog/OCTOBER-2025-miami-new-development-and-pre-construction-condo-update/","Developers including Tulip Developments Group have Urban Development Review Board approval to advance a proposed 47-story mixed-use tower in Miami's Edgewater at 3350 Biscayne Boulevard / 272 N.E. 34th Street. The Kobi Karp-designed project features 499 units (40% workforce housing, 296 condos), retail, restaurant space, amenities on multiple floors, and parking. Seeking extra height/density via Live Local Act.","Approval from Miami’s Urban Development Review Board to move forward","Plans to construct a 47-story mixed-use tower; seeking additional height and density under Florida’s Live Local Act",,"Yes","Confidence: 92 — A group of developers led by Tulip Developments Group has received approval from Miami’s Urban Development Review Board to proceed with a proposed 47-story mixed-use condo and rental tower in Edgewater at 3350 Biscayne Boulevard. Designed by Kobi Karp Architecture, the project includes 499 units (296 condos on upper levels), ground-floor retail and restaurant space, and 620 parking spaces, with the team seeking additional height and density under Florida’s Live Local Act. UDRB approval for the proposed project, ongoing density requests, and named architect confirm early planning stage before detailed mechanical engineering and HVAC systems are finalized. Strong early-stage opportunity with developer and architect identified for immediate engagement."
,"Midtown Park Residences by Proper","Rosso and Midtown Development in partnership with Proper Hospitality","Arquitectonica","",,"","","Dade / Monroe","2026","2028","Midtown Park Residences by Proper – Midtown Groundbreaking: 2026 | Completion: 2028","October 2025","2025-12-04","https://www.condoblackbook.com/blog/OCTOBER-2025-miami-new-development-and-pre-construction-condo-update/","Miami’s Urban Development Review Board approved the $2 billion, master-planned “Midtown within Midtown” project this October. The first phase includes the 28-story Midtown Park Residences by Proper condo tower with 288 residences, designed by Arquitectonica. Part of a larger 5-acre site master plan with multiple towers, retail, office, and amenities managed by PROPER Hotels.","Urban Development Review Board approved this October","Groundbreaking: 2026 | Completion: 2028; first phase can now kick off",,"No","Confidence: 0 — Article announces Midtown Park Residences by Proper, a 28-story condo tower in Midtown Miami as part of the approved Midtown within Midtown master plan. Groundbreaking is scheduled for 2026 with completion in 2028. Groundbreaking in 2026 (following year from current date December 2025) indicates mechanical engineering plans are already finalized or nearly complete. Earlier groundbreaking date takes precedence over completion date, disqualifying the project as too mature for early-stage intervention."
,"Ritz-Carlton Branded Condos","Related Group and Macklowe Properties","Arquitectonica","",,"","7946-8000 East Drive, North Bay Village, FL","Dade / Monroe","","","OCTOBER-2025-miami-new-development-and-pre-construction-condo-update","October 2025","2025-12-04","https://www.condoblackbook.com/blog/OCTOBER-2025-miami-new-development-and-pre-construction-condo-update/","Developers Related Group and Macklowe Properties secured initial approval for a two-tower Ritz-Carlton branded condo project in North Bay Village, designed by Arquitectonica. The 43-story towers will offer 364 luxury condos on a 4.12-acre site, including amenities, marina, parking, and public park.","Secured initial approval in July","Will partner with Ritz-Carlton to brand the project; towers will rise 43 stories with 364 units, amenities on first and fifth floors, renovated marina, 800 parking spaces, public park, and island walk",,"Yes","Confidence: 92 — Article announces Ritz-Carlton branded two-tower luxury condo project in North Bay Village, Miami-Dade County, replacing existing co-op and condominium buildings. Developers Related Group and Macklowe Properties secured initial approval in July and announced partnership with Ritz-Carlton, with design by Arquitectonica for 43-story towers offering 364 units. Initial approval combined with recent branding announcement and no construction timeline mentioned indicates project is in early planning phase before mechanical engineering and HVAC systems are specified. Ideal early-stage opportunity for HVAC specification involvement before detailed design work begins."
,"Luxury Condos by Prosper & Versluys","Prosper Group and Versluys Group","","",,"","99 S.W. Seventh Street, Miami, FL","Dade / Monroe","","2028","Luxury Condos by Prosper & Versluys – Brickell Completion: 2028","October 2025","2025-12-04","https://www.condoblackbook.com/blog/OCTOBER-2025-miami-new-development-and-pre-construction-condo-update/","The Prosper Group partnered with Belgium-based Versluys Group for a $650 million, 60-story waterfront condo tower in Brickell spanning three parcels: 99 S.W. Seventh Street, 66 S.W. Sixth Street, and 625 S.W. First Avenue. The tower will feature 158 luxury condos along 300 feet of Miami River frontage, complemented by 35,000 square feet of food and beverage retail space in partnership with a luxury brand. Sales expected to launch in Q3 2026, with completion in 2028.","Completion: 2028; Sales launch: Q3 2026","60-story tower with 158 luxury condos and 35,000 SF retail; partnership with luxury brand",,"Yes","Confidence: 82 — Article announces Luxury Condos by Prosper & Versluys, a proposed 60-story waterfront condo tower in Brickell, Miami, developed by Prosper Group in partnership with Versluys Group. The $650 million project spans three parcels along the Miami River, offering 158 luxury condos and 35,000 SF of food and beverage retail, with completion targeted for 2028. Completion timeline of 2028 (current year + 3) meets distant threshold, automatically qualifying as early planning phase before mechanical systems are specified. Sales launch planned for Q3 2026, but distant construction timeline creates ideal window for early HVAC specification involvement."
,"Luxury Condos by HRP Group Affiliate","HRP Group affiliate (HRP Fisher Island LLC)","","",,"","1 Fisher Island Drive, Fisher Island, FL","Dade / Monroe","","","OCTOBER-2025-miami-new-development-and-pre-construction-condo-update","October 2025","2025-12-04","https://www.condoblackbook.com/blog/OCTOBER-2025-miami-new-development-and-pre-construction-condo-update/","An affiliate of HRP Group acquired a 9.6-acre site on Fisher Island for $180 million and plans to develop up to 59 luxury condos (395,000 SF), a restaurant, and parking on this last developable parcel across from South Beach.","Site acquisition for $180 million","Up to 59 condos totaling 395,000 square feet, restaurant, and parking",,"Yes","Confidence: 80 — An affiliate of the Chicago-based HRP Group, through HRP Fisher Island LLC, acquired a 9.6-acre marine terminal and fuel depot at 1 Fisher Island Drive on Fisher Island for $180 million, one of the last developable parcels on the ultra-exclusive island. The developer plans to build up to 59 luxury condos totaling 395,000 square feet, along with a restaurant and parking. Land acquisition with explicit stated development intent, detailed project specifications, and developer identification represents an extremely early entry point, typically 24-30 months before groundbreaking with no mechanical systems specified yet. Ideal timing for early HVAC involvement before detailed engineering plans are developed."
,"Siro Brickell","Kerzner International, 13th Floor Investments, Forse Holdings","","",,"","Brickell, Miami, FL","Dade / Monroe","","2030","OCTOBER-2025-miami-new-development-and-pre-construction-condo-update","October 2025","2025-12-04","https://www.condoblackbook.com/blog/OCTOBER-2025-miami-new-development-and-pre-construction-condo-update/","Dubai-based developer Kerzner International plans to build a fitness-oriented condo-hotel in partnership with Miami-based 13th Floor Investments and Forse Holdings. US’s first Siro hotel is expected to feature 180 hotel rooms along with 350 branded residences. Built on a one-acre parcel sold by Swire Properties, the joint venture will rise next door to Brickell City Center in the heart of Miami’s financial district.","Completion: 2030","plans to build",,"Yes","Confidence: 82 — Article announces Siro Brickell, a fitness-oriented condo-hotel project in Brickell, Miami, developed by Kerzner International in partnership with 13th Floor Investments and Forse Holdings on a one-acre parcel sold by Swire Properties next to Brickell City Center. The project includes 180 hotel rooms and 350 branded residences with a completion targeted for 2030. Completion timeline of 2030 (current year + 5) meets distant threshold, automatically qualifying as early planning stage before mechanical systems are specified. Land acquisition with detailed project plans and developers named indicates strong early-stage opportunity, ideal for HVAC specification involvement before detailed engineering begins."
,"Vista Harbor Residences & Yacht Club","Alta Development","Omar Morales of Form Group","",,"","555 N.W. South River Drive, Miami, FL","Dade / Monroe","","","Vista Harbor Residences & Yacht Club – Miami River","October 2025","2025-12-04","https://www.condoblackbook.com/blog/OCTOBER-2025-miami-new-development-and-pre-construction-condo-update/","Alta Development is under contract to acquire a 2.1-acre site on the Miami River at 555 N.W. South River Drive to develop Vista Harbor Residences & Yacht Club, a 12-story building with 234 condominium units, boat slips, beach club, riverfront restaurant, pool, and pickleball courts, designed by Omar Morales of Form Group. Prices start at $600,000, with sales launching soon.","Under contract to acquire the property","Plans to develop a 234-unit condominium; sales expected to launch soon",,"Yes","Confidence: 92 — Alta Development is under contract to acquire a 2.1-acre property at 555 N.W. South River Drive on the Miami River for Vista Harbor Residences & Yacht Club, a proposed 12-story, 234-unit condominium designed by Omar Morales of Form Group. Land acquisition with explicit development plans, named architect, developer, and detailed project specifications (including boat slips, beach club, pool, and pickleball courts) represents an extremely early-stage opportunity, typically 24-30 months before groundbreaking. No construction timelines or activities mentioned, confirming project is in conceptual phase before mechanical engineering and HVAC systems are specified, creating ideal timing for early intervention."
,"1250 West Avenue Luxury Condominium Tower","JDS Development (Michael Stern) and Gianluca Vacchi partnership","Kobi Karp","",,,"1250 West Avenue, Miami Beach, FL","Dade / Monroe","","","Plans Unveiled for 29-Story Luxury Condo Tower at 1250 West Avenue in South Beach","2024-11-02","2025-12-03","https://floridayimby.com/2024/11/plans-revealed-for-420-foot-condominium-tower-at-1250-west-avenue-in-south-beach.html","A partnership between JDS Development and Gianluca Vacchi has unveiled plans for a 29-story luxury condominium tower at 1250 West Avenue in South Beach. The proposed 420-foot tower would replace the existing Bay Garden Manor and feature 100 long-term residential units over 2,000 square feet each, plus a 180-seat ground-level restaurant. The project requires zoning amendments to allow increased height and floor area, with the proposal currently under review by Miami Beach Planning Board with further discussion scheduled for January 2025.","Zoning amendments under review by Miami Beach Planning Board; further discussion scheduled for January 7, 2025; expected to move to city commission for first reading in February, second reading in April","Proposed project, plans unveiled, seeking zoning amendments, proposed tower, planned Alton Beach Overlay District",,"Yes","Confidence: 100 — Article announces JDS Development and Gianluca Vacchi have unveiled plans for a proposed 29-story luxury condominium tower at 1250 West Avenue in South Beach, Miami-Dade County. The project requires zoning amendments currently under review by Miami Beach Planning Board, with further discussion scheduled for January 2025. Architect Kobi Karp credited with design. Zoning amendment process represents early planning stage before detailed engineering begins, with no construction timeline mentioned yet. Project qualifies as elite early-stage opportunity with zoning changes sought, named architect and developer, and specific project details indicating ideal timing for HVAC specification involvement."
,"Mas Group Mixed-Use Development","Juan Carlos Mas / Landmark QOZB Construction LLC","","",,,"20000 Northwest 47th Avenue, Miami Gardens, FL","Dade / Monroe","","","Mas Group Proposes $500M Mixed-Use Development on Miami-Dade County Land","2024-11-03","2025-12-03","https://floridayimby.com/2024/11/500-million-mixed-use-project-planned-on-147-acre-site-near-miami-gardens.html","Juan Carlos Mas has proposed a $500 million mixed-use development on 146.8 acres of county land in Miami Gardens. The project includes workforce housing, retail, hotel, warehouses, and recreational sports facilities. Miami-Dade County Commission is set to review lease transfer from 13 Pista LLC to Mas' Landmark QOZB Construction LLC. Development would include at least 1,000 multifamily units, 65,000 SF retail, over 1M SF warehouse space, 100 hotel rooms, and recreational facilities across six phases. No specific site plan filed yet.","Miami-Dade County Commission set to review lease transfer on November 6, 2024; Lease termination notice issued December 2022; Transfer proposal submitted November 2023","Proposed $500M mixed-use development; Planned to include workforce housing, retail, hotel, warehouses, recreational sports facilities; Development set to unfold over six phases; Initial phase focused on recreational and sports facilities",,"Yes","Confidence: 65 — Article announces Juan Carlos Mas has proposed a $500 million mixed-use development on 146.8 acres of county land in Miami Gardens. The project includes workforce housing, retail, hotel, warehouses, and recreational facilities, with Miami-Dade County Commission set to review lease transfer on November 6, 2024. No specific site plan has been filed yet, indicating very early planning stage before detailed design work begins. The lease transfer review represents early regulatory approval process, typically occurring 12-24 months before construction. Project qualifies as early-stage opportunity for HVAC specification involvement before mechanical engineering plans are finalized."
,"Jean-Georges Miami Tropic Residences","","Arquitectonica","",,,"3501 NE 1st Ave, Miami, FL","Dade / Monroe","","2027","Sales have launched for Jean-Georges Miami Tropic Residences","2024-11-05","2025-12-03","https://floridayimby.com/2024/11/jean-georges-miami-tropic-residences-to-offer-329-luxury-condos-at-3501-ne-1st-ave-miami-fl.html","The article reports on the launch of sales for Jean-Georges Miami Tropic Residences, a 48-story luxury high-rise with 329 condos ranging from one- to four-bedrooms, located at 3501 NE 1st Ave in Miami. Designed by Arquitectonica and with interiors by Yabu Pushelberg, the tower includes extensive amenities, a rooftop restaurant, podcast studio, and ground-floor retail with abc kitchens by Jean-Georges Vongerichten. Prices start at $1.1 million, with completion estimated in 2027.","Sales launched","Completion in 2027; 48-story tower; 329 condos; 41,000 sq ft amenities; 27,500 sq ft retail",,"Yes","Confidence: 82 — Article announces sales launch for Jean-Georges Miami Tropic Residences, a 48-story luxury condominium tower comprising 329 condos at 3501 NE 1st Ave, Miami, FL in Miami-Dade County, designed by Arquitectonica with interiors by Yabu Pushelberg. The project features over 41,000 square feet of amenities and 27,500 square feet of ground-floor retail, with completion estimated in 2027. Completion timeline of 2027 (current year + 2) automatically qualifies the project as early-stage despite sales launch, indicating mechanical engineering plans have not been finalized yet. Distant completion date combined with named architect creates strong opportunity for HVAC specification discussions before detailed engineering begins."
